period,number,color,date_folder
20250420100051405,7,green,20-04-2025
20250420100051404,9,green,20-04-2025
20250420100051403,2,red,20-04-2025
20250420100051402,6,red,20-04-2025
20250420100051401,6,red,20-04-2025
20250420100051400,4,red,20-04-2025
20250420100051399,6,red,20-04-2025
20250420100051398,4,red,20-04-2025
20250420100051397,3,green,20-04-2025
20250420100051396,3,green,20-04-2025
20250420100051395,1,green,20-04-2025
20250420100051394,7,green,20-04-2025
20250420100051393,7,green,20-04-2025
20250420100051392,7,green,20-04-2025
20250420100051391,1,green,20-04-2025
20250420100051390,1,green,20-04-2025
20250420100051389,3,green,20-04-2025
20250420100051388,6,red,20-04-2025
20250420100051387,8,red,20-04-2025
20250420100051386,5,green / violet,20-04-2025
20250420100051385,5,green / violet,20-04-2025
20250420100051384,3,green,20-04-2025
20250420100051383,5,green / violet,20-04-2025
20250420100051382,9,green,20-04-2025
20250420100051381,9,green,20-04-2025
20250420100051380,6,red,20-04-2025
20250420100051379,9,green,20-04-2025
20250420100051378,6,red,20-04-2025
20250420100051377,1,green,20-04-2025
20250420100051376,2,red,20-04-2025
20250420100051375,3,green,20-04-2025
20250420100051374,6,red,20-04-2025
20250420100051373,2,red,20-04-2025
20250420100051372,4,red,20-04-2025
20250420100051371,0,red / violet,20-04-2025
20250420100051370,3,green,20-04-2025
20250420100051369,9,green,20-04-2025
20250420100051368,6,red,20-04-2025
20250420100051367,6,red,20-04-2025
20250420100051366,2,red,20-04-2025
20250420100051365,1,green,20-04-2025
20250420100051364,8,red,20-04-2025
20250420100051363,6,red,20-04-2025
20250420100051362,4,red,20-04-2025
20250420100051361,6,red,20-04-2025
20250420100051360,9,green,20-04-2025
20250420100051359,8,red,20-04-2025
20250420100051358,9,green,20-04-2025
20250420100051357,3,green,20-04-2025
20250420100051356,1,green,20-04-2025
20250420100051355,0,red / violet,20-04-2025
20250420100051354,0,red / violet,20-04-2025
20250420100051353,4,red,20-04-2025
20250420100051352,8,red,20-04-2025
20250420100051351,9,green,20-04-2025
20250420100051350,6,red,20-04-2025
20250420100051349,8,red,20-04-2025
